IDENT_PVP;N_SQ_CA;NUM_PVP;ADR_ORI;ADR_SUP;TYP_PROT;MOTIVATION
05-0306;5;306;5 rue des Boulangers;;BP;Maison présentant une façade composée de deux travées et de deux étages carrées sur rez-de-chaussée. Fenêtres soulignées d'un bandeau plat. Fruit apparent. Rez-de-chaussée laissant apparaître un appareil en pierre de taille sous l'enduit. Porte piétonne. Soupirail. Lucarnes maçonnées. Bâtiment protégé de la rue Mouffetard et de ses abords représentatif de l'architecture domestique des XVIIème et XVIIIème siècles. Il constitue un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris.
05-0432;5;432;33 rue Tournefort;;BP;Maison Poullain  construite au XVIIIème siècle pour Antoine Poullain  avocat à la cour des monnaies. Sur la rue  sobre façade ayant conservé un portail avec ses vantaux anciens. L'aile gauche  la seule subsistant  renferme un escalier à rampe de fer forgé. Plusieurs fenêtres ont encore leurs croisées à petits carreaux.
05-0171;5;171;14 rue Maitre Albert;;BP;Maison du XVIIème siècle à l'ancien alignement présentant une façade composée de quatre travées irrégulières et de deux étages carrés sur rez-de-chaussée. Fruit important. Soubassement en pierre de taille percée d'une porte cochère cintrée à vantaux en bois à panneaux saillants et heurtoir conservé. Trois lucarnes maçonnées surmontées d'un fronton triangulaire.
18-0523;18;523;12 Square de Clignancourt;;BP;Boucher, 1924, architecte. Grand immeuble sur deux lots, en briques et pierre, imposant mais peu orné, il appartient visiblement à une nouvelle mode, qui se développe dans les quartiers ouest de Paris. La recherche porte plus sur le confort et l’éclairement des pièces, mais aussi sur la rentabilité du foncier. Les signes de richesse sont affichés aux endroits les plus visibles (porte, baie cintré du faux-entresol, décors des oriels aux premiers étages…), les autres parties en étant totalement dénuées.
14-0257;14;257;10 bis rue Roger;;BP;Atelier du sculpteur César Baldaccini dit « César ».
05-0308;5;308;9-11 rue des Boulangers;;BP;Au n° 9 maison dans son aspect extérieur du XVIIème siècle présentant une façade composée de deux travées irrégulières et de trois étages carrés sur rez-de-chaussée. Les étages sont séparés par des bandeaux saillants. Lucarnes. Porte piétonne. Sur cour bâtiments sans doute plus récents (escalier XIXème) résultant d'une densification de la parcelle. Au n° 11 maison dans son aspect extérieur du XVIIème siècle présentant une façade composée de deux travées et de trois étages carrés sur rez-de-chaussée et une porte encadrée de deux piles de pierres appareillées. Bâtiments protégés de la rue Mouffetard et de ses abords représentatifs de l'architecture domestique des XVIIème et XVIIIème siècles. Ils constituent un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris.
05-0008;5;8;13 quai de la Tournelle;;BP;Maison à loyer de style néoclassique construite vers 1775 pour deux propriétaires Celard et Desfontaines. La façade en pierre blonde dont un ravalement récent a révélé la beauté repose sur un soubassement à arcades et est cantonnée par deux chaînes de refends. Appuis de fenêtre en fer forgé Louis XVI. Baies cintrées au second étage. Porte cochère.
05-0172;5;172;18 rue Maitre Albert;;BP;Maison d'angle du XVIIIème siècle dans son aspect actuel. Soubassement en pierre. Bandeaux plats soulignant les baies aux second et troisième étages. Lucarnes. Garde-corps XIXème.
03-0047;3;47;95 rue Beaubourg;;BP;Séquence cohérente de maisons anciennes ou établies sur des bases anciennes entre les rues au Maire et des Gravilliers. Maison présentant une façade composée de trois travées et de trois étages carrés sur rez-de-chaussée. Trait de refends dans l'enduit. Trois lucarnes.
16-0519;16;519;75 rue des Vignes;;BP;Hôtel particulier de la première moitié du XIXe siècle construit en retrait de l’alignement. Atelier d’artiste fin XIXe siècle de l’architecte Charles Blanche.
05-0310;5;310;65 rue du Cardinal Lemoine;;BP;Collège des Ecossais construit en 1665 pour accueillir les étudiants écossais. Chapelle construite en 1672 dans laquelle se trouve le cerveau de Jacques II Stuart roi d'Angleterre protecteur du collège. Sobre façade sur rue couronnée par une rangée de lucarnes maçonnées. Au centre deux portails l'un au-dessus de l'autre celui du bas résultant de l'abaissement du niveau de la rue en 1686. Cette opération a fait des caves le rez-de-chaussée et de l'ancien rez-de-chaussée le premier étage. Au premier à gauche de la façade deux fenêtres en plein cintre éclairent la chapelle celle-ci donne de plein pied sur le jardin du collège. Elle est surmontée d'un clocheton. A l'intérieur un bel escalier en bois à quatorze noyaux et balustres carrés date de 1686. Façade chapelle et escalier intérieur inscrit à l'inventaire supplémentaire des monuments historiques.
06-1072;6;1072;2-14 rue des Beaux-Arts;;BP;Ensemble cohérent d'immeubles d'époque Restauration résultant du lotissement en 1828 de l'hôtel de La Rochefoucauld par M. Destroyes et du percement de la rue des Beaux-Arts. A l'origine il s'agissait d'un passage privé clôt par des grilles. Tous les immeubles de la rue possèdent les particularités stylistiques de la Restauration : quatre étages carrés sur rez-de-chaussée des baies rapprochées munies de persiennes en bois une porte cochère rectangulaire des motifs ornementaux limités aux frises. Les niveaux sont fortement marqués par des corniches rehaussées de grecques (n°5) et de rinceaux (n°10). Une seule façade possède un étroit balcon plaqué sur toute la largeur du premier étage (n°4). On remarque particulièrement le 1 rue des Beaux Arts situé à l'angle du 16 rue de Seine qui présente de grandes arcatures englobant l'entresol et le grand ensemble du 5/7 rue des Beaux-Arts avec son beau portail marqué d'une console à la clé son entresol orné de refends les baies des deux premiers étages encadrées de moulures et surmontées de dais.
05-0282;5;282;49 rue de la Montagne Sainte-Geneviève;;BP;Au n°49 était établie la communauté des Filles de Sainte-Geneviève. Cet ensemble a été complètement rénové en 1974-1976 lors d'une opération immobilière. Le n°49 a été sauvé in extremis mais les bâtiments sur cour ont été sacrifiés.
03-0052;3;52;13 rue Béranger;;BP;Maison à loyer Louis-Philippe élevée sur la basse-cour de l'hôtel Bertier de Sauvigny présentant une façade composée de six travées et de trois étages carrés sur entresol et rez-de-chaussée. La façade la porte et le décor du passage d'entrée sont caractéristiques du style de la Monarchie de Juillet. Frontons triangulaires et pilastres ioniques ornant les fenêtres du premier étage. Porte à vantaux ajourés de grilles en fonte.
20-0158;20;158;2-8 rue de Lesseps;81b rue de Bagnolet;BP;Séquence cohérente de villas sur jardin édifiées par l'architecte Camille Nivoit en 1889. La maison de l'architecte correspond au pavillon du n°4. Traitement et décor pittoresque utilisant la brique.
05-0104;5;104;10-12 rue Domat;;BP;Ces deux maisons réunies dès le XVIIème siècle ont été données à l'Hôtel Dieu en 1749 par Françoise Clavier. Le n°12 d'origine médiévale conserve un escalier en vis à poteau mouluré.
06-0854;6;854;5 rue Bernard Palissy;;BP;Maison du XVIIème siècle. Soubassement et façade en pierre. Façade composée de trois travées irrégulières et de trois étages carrés (probablement surmontée d'une surélévation). Bandeau à section carré.
05-0361;5;361;44 rue Mouffetard;;BP;Maison présentant une façade d'aspect XVIIIème composée de deux travées et de trois étages carrés sur rez-de-chaussée. Hiérarchisation des étages. Entre les deux fenêtres du premier étage une niche est visible. Bâtiment protégé de la rue Mouffetard et de ses abords représentatif de l'architecture domestique des XVIIème et XVIIIème siècles. Il constitue un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris.
03-0055;3;55;2-10 rue Blondel;2 rue Blondel angle avec le 353 rue Saint-Martin;BP;Au n°2  maison d'angle avec la rue Saint-Martin (n°353), dans son aspect actuel du XVIIIème siècle et d'origine plus ancienne composée de trois étages carrés sur rez-de-chaussée. Lucarnes maçonnées et double lucarne. Appuis de fenêtre Louis XVI. Au n°4 remarquable maison Art Déco. Façade revêtue de céramique polychrome composée de deux travées et de trois étages carrés sur rez-de-chaussée. Balcon remarquablement stylisé. Balcon desservant les combles en encorbellement. N°6 maison du XVIIIème siècle. Façade composée de cinq travées et de trois étages carrés. Appuis de fenêtre en fer forgé conservés. N°8-10 anciennes maisons à loyer.
20-0202;20;202;33 rue de la Mare;;BP;Immeuble de rapport seconde moitié XIXème implantée en retrait de l'alignement
05-0109;5;109;8 rue du Fouarre;;BP;Ancienne Grande Ecole de la Nation de France  une des quatre Nations de la faculté des Arts. La maison a été très remaniée. Au rez-de-chaussée  une belle porte piétonne du XVIIème couronnée d'un arc en plein cintre conserve un vantail à panneaux cloutés.
06-0856;6;856;9 rue Bernard Palissy;;BP;Maison du XVIIème siècle présentant une façade composée de deux travées. Garde-corps de la première moitié du XIXème siècle en fonte. Maison jumelée au n°7.
05-0415;5;415;101b rue Mouffetard;;BP;Maison ancienne présentant une façade sans doute remaniée composée de quatre travées irrégulière et élevée de trois étages carrés sur rez-de-chaussée. Couronnement mansardé. Bâtiments protégés de la rue Mouffetard et de ses abords représentatifs de l'architecture domestique des XVIIème et XVIIIème siècle. Ils constituent un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris.
03-0063;3;63;14 rue Commines;;BP;Remarquable immeuble Louis-Philippe. Façade composée de cinq travées et de trois étages carrés sur entresol et rez-de-chaussée est ornée au premier étage d'une serlienne à colonnes corinthiennes que surmonte un fronton. Garde-corps en fonte à motifs de palmette. La porte cochère avec ses vantaux en bois sculptés et une belle imposte en fonte est encadrée de pilastres doriques laurés. Le passage-vestibule voûté d'arêtes a conservé une torchère dans une niche. L'aile de droite renferme un grand escalier dont les barreaux sont parfaits en leurs extrémités d'un motif végétal qui s'enroule sous la main courante. Remarquable revers de la façade sur rue avec un balcon au premier au-dessus de l'entresol. La cour aujourd'hui parasitée se terminait par un mur en hémicycle avec une fontaine.
20-0059;20;59;140-144 rue de Ménilmontant;146-156 rue de Ménilmontant;BP;"Ensemble HBM construit en 1920-1926 par Louis Bonnier pour le relogement de la population de la ""zone"" des fortifications. Il comprenait à son achèvement 30 bâtiments abritant 584 logements sur un terrain d'environ 14 000 m² en forte pente. Les bâtiments sont construits sur cave avec des murs de refend en brique de Vaugirard les planchers et les escaliers sont en béton armé. Les soubassements de façades sont en pierre d'Euville les murs en meulière jusqu'au plancher haut du premier étage puis en brique de Dizy blanche et rouge avec remplissage en brique de Luzancy. Ils sont décorés de briques vernissées et de carreaux perforés en grès pour les garde-manger. La charpente de la toiture est en sapin supportant les tuiles à emboîtement. La menuiserie fenêtres portes palières et intérieures étaient en chêne. La clarté du plan-masse la lisibilité de la répartition des pièces en façade la gaieté des couleurs à l'origine sont autant de qualités qui prouvent la capacité de Bonnier à s'adapter à une commande urgente et à un budget contraint. L'ensemble a fait l'objet d'importantes modifications lors d'une réhabilitation-restructuration des années 90."
05-0152;5;152;7 rue Lacépède;;BP;Hôtel Pourfour du Petit construit en 1761 pour Etienne Pourfour du Petit docteur-régent et doyen en 1782 de la faculté de médecine de Paris. La surélévation du comble a malencontreusement altéré les proportions de l'ensemble.
06-0214;6;214;8 rue de Buci;;BP;Maison présentant une façade sur rue d'aspect Restauration similaire à celle n°10 composée de deux travées et élevée de trois étages carrés sur entresol et rez-de-chaussée. Elle a probablement une origine plus ancienne commune avec le n°6 mais présentant des appuis de fenêtre plus tardifs disposés en tableau et permettant l'usage de persiennes en bois.
05-0447;5;447;102 rue Mouffetard;;BP;Maison présentant une façade sobrement enduite composée de trois travées principales irrégulièrement disposées et de trois étages carrés sur rez-de-chaussée. Etages séparés par des bandeaux. Persiennes au premier étage. Bâtiment protégé de la rue Mouffetard et de ses abords représentatif de l'architecture domestique des XVIIème et XVIIIème siècles. Il constitue un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris.
03-0068;3;68;29-37 rue Debelleyme;;BP;Séquence de maisons anciennes du XVIIIème et de la première moitié du XIXème siècle. N°31 maison du XVIIIème siècle. Décor de traits de refends dans l'enduit. Appuis de fenêtre en fer forgé au premier. Porte à vantaux conservés.
06-1073;6;1073;20 rue du Montparnasse;;BP;Bâtiment construit par l’architecte Jacques Barge en 1965 pour le collège Stanislas. Ce vaste bâtiment en forme de croix élevé sur pilotis réalisé entièrement en béton brut de décoffrage très inspiré des réalisations contemporaines de Le Corbusier est un témoignage majeur de la période brutaliste du mouvement moderne.
05-0158;5;158;12 rue Laplace;;BP;Maison à l'enseigne du Pélican construite en 1684. Il s'agit de l'ancienne entrée du Collège des Grassins. On accédait à la cour par cette maison qui a conservé un beau portail à refends et un bel escalier en bois à balustres rampants à quatre noyaux.
06-0160;6;160;23 rue de Buci;60 rue de Seine;BP;Maison d'angle à façade en pierre de taille construite en 1812 de style néoclassique. (maison précédente du XVIIème siècle démolie en 1809 lors de la prolongation de la rue de Seine reconstruite en 1812). Balcon soutenu par des consoles en doucine à l'étage noble au niveau de la travée comprise dans le pan coupé dessinant l'angle avec la rue de Seine. Appuis à l'étage noble soutenus par des consoles en dé.
05-0416;5;416;103 rue Mouffetard;;BP;"Maison présentant une façade composée de quatre travées et de trois étages carrés sur rez-de-chaussée. Hiérarchisation des étages. Décor de refends au premier étage et de tables au deuxième étage d'aspect XIXème. Lucarnes. Une plaque fixée sur la façade indique la date de ""1626"". Porte ajourée par une grille début XIXème. Bâtiment protégé de la rue Mouffetard et de ses abords représentatif de l'architecture domestique des XVIIème et XVIIIème siècles. Il constitue un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris."
03-0280;3;280;13-15 rue Dupetit-Thouars;;BP;Bâtiment administratif du début du XXème siècle en brique et pierre avec décors intéressants sur cour (Rue Dupetit-Thouars) donc visible de l'espace public.
11-0290;11;290;161 rue Saint-Maur;;BP;Eglise Saint-Joseph. Décidée en 1867 la construction de cette église formant îlot a été achevée en 1874. Œuvre de style néo-roman de l’architecte Théodore Ballu elle se distingue notamment par la hauteur de son clocher (60 mètres) et le fort contraste coloré des colonnes de la nef avec les autres parties de l’édifice.
05-0259;5;259;2-10 rue Larrey;1-5 place du Puits-de-l'Ermite et 12-18 rue Daubenton;BP;"Groupe de logements sociaux ""Habitations à Bon Marché"" construit de 1923-26 par les architectes Georges Albenque et Eugène Gonnot. Georges Albenque et Eugène Gonnot auteurs de plusieurs groupes d'habitations à bon marché et d'une cité-jardin en banlieue sont les meilleurs représentants d'une tendance populiste qui avait trouvé dans le logement social son programme d'exception. Chaque élément architectonique y est prétexte à un évènement décoratif : allèges linteaux attiques soubassements etc. Les thèmes de l'architecture rurale y sont réinterprétés mais gonflés à l'échelle de l'immeuble urbain comme ces coffres de cheminés qui s'étirent rouges sur fond jaune le long des pignons. Une profusion de détails envahit toutes les surfaces de façade. La brique tient le premier rôle par les effets graphiques qu'elle permet ici avec une gamme de trois couleurs : jaune rouge et brun foncé et quelques accents en brique vernissée bleue."
06-0799;6;799;3 rue du Canivet;5 rue Férou;BP;Hôtel de Beauveau puis de Breteuil édifié en 1730. Edifice présentant un portail timbré à la clé d'un mascaron féminin flanqué de guirlandes de roses et d'une porte de style Régence. Longue façade sur la rue du Canivet se retournant sur la rue Férou marquée par trois chaînes de refends. La cour spacieuse et l'escalier en fer forgé indiquent nettement la qualité de l'édifice. Le toit à la particularité d'être couvert à la fois d'ardoises et de tuiles.
05-0112;5;112;3-11 rue du Petit Pont;;BP;Séquence cohérente des XVIIème et XVIIIème siècles. Garde-corps conservés. Au n°3-5 maisons jumelles de deux travées chacune. Au n° 7 façade composée de deux travées appuis de fenêtre en fer forgé. Au n°9 petite maison avec une façade Louis XV composée de deux travées et flanquée de deux chaînes de refends. Au n°11 façade composée de deux travées appuis de fenêtre en fer forgé.
03-0110;3;110;10 rue des Filles Du Calvaire;;BP;Maison à loyer de la première moitié du XIXème siècle présentant une façade composée de sept travées et de trois étages carrés sur rez-de-chaussée. La porte cochère possède une belle grille en fonte à motif de palmette. Au fond de la cour se dresse un amusant petit pavillon Restauration d'un étage orné de pilastres ioniques de chambranles moulurés sommés de palmettes et d'une corniche à denticules.
17-0387;17;387;9 place du Maréchal Juin;120 boulevard Pereire, 107 avenue de Villiers;BP;Architecture ordonnancée de la place du Maréchal Juin (ancienne place Pereire) établie et réalisée sous le Second Empire lors du lotissement de la plaine Monceau par les frères Pereire par leurs architectes Alfred Armand et Alphonse Crépinet.
05-0175;5;175;15 rue Malebranche;;BP;Cette maison construite sous Louis XIII par Nicolas Chevalier. L'architecte Louis Bonnier a habité cette maison en 1888. La façade conserve une porte cochère monumentale avec un beau heurtoir Louis XV. Au fond de la cour pavée l'escalier possède un départ majestueux.
06-0935;6;935;22 rue du Cherche-Midi;;BP;Maison du XVIIIème siècle dans son aspect actuel. Façade composée de deux travées et de deux étages carrés sur rez-de-chaussée. Appuis de fenêtre en fer forgé Louis XV conservés. Corniche à denticules.
05-0187;5;187;17-19 rue Saint-Jacques;;BP;Au n°17 haute maison présentant une sobre façade composée de deux travées et de cinq étages carrés sur rez-de-chaussée. Au premier étage garde-corps Louis XVI. Corniche très saillante. Au n°19 maison du XVIIème siècle composée de deux travées principales et une travée secondaire et de quatre étages carrés sur rez-de-chaussée. Fruit apparent. Bandeaux d'étage. Ancienne lucarne (?) maçonnée formant un fronton transformée.
03-0329;3;329;72 rue des Gravilliers;;BP;Au n°72 maison présentant une haute façade composée de deux travées et de cinq étages carrés sur rez-de-chaussée. Léger fruit. Remarquables appuis de fenêtre en fer forgé Louis XV. Maison mitoyenne de la maison Dalençon-Dorville au 70 rue des Gravilliers oeuvre de l'architecte Quentin Desboeufs en 1737 (inscrite à l'inventaire supplémentaire des monuments historique).
19-0171;19;171;56 avenue Jean Jaurès;;BP;Immeuble datant du milieu du XIXe siècle dont la structure particulière avec un puits de lumière situé au-dessus du porche d’entrée monumental est un rare témoignage d’une version populaire de l’immeuble haussmannien de logement et d’activité dans le contraste des faubourgs. Il présente une cohérence générale remarquable (composition symétrique des façades puits de lumière éclairant les pièces secondaires sobriété des décors de façade).
05-0353;5;353;21 rue Mouffetard;;BP;Maison présentant une façade d'aspect XIXème siècle composée de deux travées et de quatre étages carrés sur rez-de-chaussée. Persiennes et garde-corps en fonte XIXème conservés. Bâtiment protégé de la rue Mouffetard et de ses abords.
06-0324;6;324;8 rue Christine;;BP;Maison du XVIIème siècle probablement contemporaine de la maison Le Muet mitoyenne. Elle présente une façade sur rue composée de deux travées et élevée trois étages carrés. Rue ouverte en 1607 en même temps que la rue Dauphine et la rue d'Anjou (de Nesle) sur les terrains de l'hôtel et collège de Saint-Denis.
05-0192;5;192;71 rue Saint-Jacques;;BP;Ensemble formé par la réunion de trois maisons anciennes. Le passage cocher avec ses pavés et ses bornes conservés débouche sur une belle cour entourée d'anciens bâtiments. A droite un escalier de style Louis XV subsiste.
03-0005;3;5;74 rue des Gravilliers;;BP;Maison ancienne présentant dans son état actuel une façade sobre composée de deux travées et de quatre étages carrés sur rez-de-chaussée. Fruit apparent. Les baies sont encadrées par des chambranles moulurés XIXème. Les niveaux sont séparés par des bandeaux. Porte piétonne décorée d'une grille de fonte. Escalier à barreaux ronds sur limon début XIXème. Cour.
19-0172;19;172;103 rue de Meaux;;BP;Maison à ossature bois constituant un repère particulier dans le paysage urbain du quartier Secrétan
05-0366;5;366;30 rue Mouffetard;;BP;Maison présentant une façade composée de deux travées et de trois étages carrés sur rez-de-chaussée. Lucarnes et persiennes conservées. Bâtiment protégé de la rue Mouffetard et de ses abords représentatif de l'architecture domestique des XVIIème et XVIIIème siècles. Il constitue un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris.
06-0682;6;682;6 rue des Ciseaux;;BP;Maison ancienne du XVIème siècle (Rochegude). Façade composée de deux travées présentant un fruit. Garde-corps Louis XVI.
06-1074;6;1074;9-13 place Saint-Michel;2 à 6 boulevard Saint-Michel et 44-46 rue Francisque Gay;BP;Architecture ordonnancée de la place Saint-Michel par Gabriel Davioud (1856) se rattachant par son importance aux grands ensembles ordonnancés du Second Empire (place de l'Opéra place de l'Etoile). Ensemble exceptionnel dont seule la fontaine est à ce jour protégée.
03-0171;3;171;59 rue Meslay;;BP;Deux bâtiments mitoyens. A gauche maison présentant une façade de la fin du XVIIIème siècle composée de trois travées et de trois étages carrés sur rez-de-chaussée et un étage d'attique. Traits de refends dans l'enduit au trois premiers étages. Appuis à balustres de pierre devant les fenêtres du premier étage. A droite maison à loyer du début du XIXème siècle présentant une façade composée de cinq travées et de quatre étages carrés sur rez-de-chaussée. Traits de refends dans l'enduit au premier et second étage. Les fenêtres sont encadrées par des chambranles. Au premier étage les fenêtres sont surmontées de dais sur consoles et de bas-reliefs à décor de rosaces et palmettes. Elles ont conservées leurs persiennes. Porte cochère à vantaux en bois début XIXème conservés ouvrant sur une cour.
10-0270;10;270;181 rue Saint-Maur;;BP;Petite maison ancienne, vraisemblablement de la fin du XVIIIe siècle, bien conservée et significative de l'ancienne occupation du quartier, d'origine rurale, présentant une façade de 5 travées, élevée d'un étage carré sur rez-de-chaussée. Combles à deux pans. Lucarnes, dont lucarne fenière dans l'axe.
05-0363;5;363;38 rue Mouffetard;;BP;Maison ancienne présentant une façade composée d'une travée principales encadrée de deux demi-croisées et élevée de quatre étages carrés sur rez-de-chaussée. Façade sobre ornée de bandeaux séparant les étages. Porte piétonne. Bâtiment protégé de la rue Mouffetard et de ses abords représentatif de l'architecture domestique des XVIIème et XVIIIème siècles. Il constitue un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris.
06-0491;6;491;13 rue G¯t-Le-Coeur;29 rue de l'Hirondelle;BP;Belle maison d'angle du XVIIème siècle présentant un fruit important. Façades composées de trois étages carrés sur rez-de-chaussée. Une baie rue de l'Hirondelle a conservé ses proportions d'origine.
05-0221;5;221;8 rue Saint-Séverin;;BP;Par une porte basse et une longue allée on gagne au fond une ancienne maison avec un escalier en bois à balustres tournés. La cour est occupée depuis le XVIIIème siècle par une imprimerie.
05-0076;5;76;14 rue des Bernardins;;BP;Maison à l'enseigne de l'image Saint Claude elle appartient au milieu du XVIIème siècle à Jean Garnier maître de la garde-robe de la Reine d'Angleterre. Façade enduite composée de quatre travées très irrégulières et de quatre étages carrés sur rez-de-chaussée.
18-0536;18;536;32 Square de Clignancourt;;BP;Paul Morice, 1913, architecte. Riche immeuble en pierre de taille, de 4 travées dont 2 en oriel. Il montre un style encore influencé par l’Art nouveau (voussures des balcons, oriels, courbes, répertoire décoratif, frise du premier étage, garde-corps, sculpture) habillant une construction d’une grande simplicité. Seuls les frontons des lucarnes, au-dessus des oriels, sont envahis d’une ornementation foisonnante.
05-0420;5;420;117 rue Mouffetard;1q rue de l'Arbalète;BP;"Maison présentant une façade composée de trois travées régulières sur la Mouffetard et de deux étages carrés sur rez-de-chaussée. Panneau sous verre fixé sur la façade à l'enseigne de la ""Grande Boucherie des Patriarches"". Garde-corps à motifs géométriques vers 1800. Bâtiment protégé de la rue Mouffetard et de ses abords représentatif de l'architecture domestique des XVIIème et XVIIIème siècles. Il constitue un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris."
06-0505;6;505;17-17b quai des Grands Augustins;17/A quai des Grands Augustins;BP;Maison dépendances de l'ancien hôtel d'Estampes puis de Luynes (Rochegude) présentant dans son aspect actuel une façade cantonnée de deux chaînes de la fin du XVIIIème siècle composée de trois travées et élevée de quatre étages carrés sur rez-de-chaussée. Appuis de fenêtre Louis XVI. Des pilastres cannelés ioniques flanquent la porte cochère, le bâtiment sur cour conserve ses frontons en maçonnerie du XVIIème siècle.
05-0238;5;238;5-7 rue Soufflot;;BP;Deux maisons locatives construites vers 1734 par le maître maçon Martin Goupy pour lui-même. L'ensemble très sobre a été surélevé au XIXème siècle mais les façades ont conservé les appuis de fer forgé au chiffre J.M. pour Malaval.
14-0046;14;46;8 rue du Parc de Montsouris;;BP;Hôtel particulier du romancier Michel Morphy édifié vers 1900 dans le goût rococo et orné de motifs de faïences colorées (métopes frises à palmettes).
03-0369;3;369;29 rue Notre-Dame de Nazareth;;BP;Maison de rapport de la fin du XVIIIe siècle. Façade sur rue composée de 5 travées et3 niveaux d’élévation sur soubassement. Porte cochère centrale. Ravalement ancien, ayant sans doute fait disparaître la modénature. Passage cocher remanié première moitié du XIXe siècle. Lucarnes d’origine à chaque travée.
05-0384;5;384;8-12 rue du Pot de Fer;;BP;Ensemble original de trois maisons de hauteur différente réunies sur une même parcelle. Au n°12 maison présentant une façade sobre composée de deux travées et de deux étages carrés sur rez-de-chaussée. Lucarne conservée. Au n° 10 maison plus élevée présentant une façade composée de deux travées et de trois étages carrés sur rez-de-chaussée. Porte piétonne à battant en bois fin XVIIIème. Remarquable escalier Louis XVI à rampe en fer forgé monté sur limon tournant attesté en octobre 2004. Au n° 8 maison présentant une façade composée de deux travées et de trois étages carrés sur rez-de-chaussée. Bâtiments protégés de la rue Mouffetard et de ses abords représentatifs de l'architecture domestique des XVIIème et XVIIIème siècles. Ils constituent un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris.
18-0304;18;304;17 rue du Mont Cenis;;BP;Maison basse typique de l'ancien village de Montmartre
05-0402;5;402;32 rue Tournefort;2, place Lucien Herr;BP;Bâtiment protégé de la rue Mouffetard et de ses abords représentatif de l'architecture domestique des XVIIème et XVIIIème siècles. Il constitue un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris.
14-0186;14;186;240-242 boulevard Raspail;;BP;La cité d’artistes Nicolas Poussin regroupe autour d’une cour plantée au sol pavé un ensemble de bâtiments percés de larges baies à structure de bois aux colombages apparents noirs qui se détachent sur les façades blanches auquel vient s’ajouter une maison en brique sur rue au toit très incliné. Cet ensemble caractéristique des cités d’artistes du tournant du XXème siècle rappelle par sa typologie la Cité Fleurie classée aux Monuments historiques. Située face aux ateliers de la rue Campagne-Première et au passage de l’Enfer elle rappelle le rôle primordial de ce quartier dans la vie artistique du début du siècle.
05-0322;5;322;9 rue Rollin;;BP;Maison présentant une façade sobre composée de trois travées et de trois étages carrés sur rez-de-chaussée. Porte piétonne en bois sculpté et heurtoir conservés. Lucarnes. Fruit apparent. Allure évoquant un bâtiment d'origine du XVIIème siècle. Garde-corps en fonte ajoutés au XIXème siècle. Bâtiment protégé de la rue Mouffetard et de ses abords représentatif de l'architecture domestique des XVIIème et XVIIIème siècles. Il constitue un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris.
18-0398;18;398;12 rue Nicolet;;BP;Immeuble de rapport typique de l'ancien village de Montmartre.
05-0464;5;464;9 rue Vauquelin;;BP;Séminaire et oratoire du Consistoire central israélite construit en 1880 par Alfred Aldrophe architecte de la synagogue de la rue de Victoire. Les bâtiments étaient assez vastes pour accueillir le Séminaire avec sa bibliothèque et un oratoire aux proportions dignes d'une synagogue. Aldrophe édifia l'oratoire au centre du bâtiment dans l'axe de l'entrée et entouré sur trois côtés d'un promenoir d'où la possibilité d'éclairer la salle par des oculus et des verrières sur trois côtés, il choisit un style inspiré lui aussi de l'art roman. La nef voûtée a 18 mètres de profondeur sur 6 mètres de large. L'inauguration de l'Oratoire eut lieu le 12 septembre 1882 en présence des grands rabbins de France Lazard Isidor et de Paris Zadoc Kahn.
14-0050;14;50;280 boulevard Raspail;;BP;Immeuble de rapport construit par l'architecte Théo Petit en 1905 présentant deux bow-windows symétriques encadrant la façade d'une qualité exceptionnelle. Il constitue l'un des rares témoignages de l’architecture de style Art Nouveau du 14ème arrondissement. Le décor aux formes arrondies est plaqué sur la structure du bâtiment qui suit les techniques constructives traditionnelles. La façade est encadrée par deux travées de bow-window de forme circulaire. Les balcons sont traités différemment selon l’étage. Le deuxième étage comporte un balcon massif en pierre tandis qu’aux étages supérieurs ils se déclinent en fer forgé.
05-0201;5;201;165 rue Saint-Jacques;;BP;Derrière la façade de cette maison à l'enseigne de la Grâce de Dieu au XVIIIème siècle s'élève un petit bâtiment dans le goût Louis XIII : la façade en pierre et brique peinte possède des appuis de fer forgé du XVIIème siècle et un toit éclairé par des lucarnes maçonnées (façade visible depuis le n°167).
18-0290;18;290;6 rue d'Orchampt;;BP;Immeuble de rapport XIXème
06-0945;6;945;28 rue d'Assas;76 rue de Vaugirard;EPP;"Immeuble de rapport construit par l'architecte Hector Degeorge en 1894 pour le magazine ""La Semaine"". Protection de la devanture en bois et verre restituée de Mallet-Stevens."
